file_name,name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
EB_-_Sketch_'em_all!.jpg,Sketch 'em all!,EB,Exclusive,Attend the Sketch 'Em All panel and snag one at the end!,Find the Team Rocket Grunt with Houndoom!,Pokemon,Sunday
Emily_K._-_Speedy_Sketcher.jpg,Speedy Sketcher,Emily K.,Exclusive,Attend the Speed Sketch Trades Panel on Saturday at 1 pm (Must show finished art at the end!),"Will be wearing a black D20 Ita Bag, brown hair and glasses",N/A,Saturday
Wes_-_Spiderman_Noir.png,Spiderman Noir,Wes,Action,Take a picture with me!,Spiderman Noir,SpiderVerse,Friday
Under_the_Mountain_Apothecary_-_Spilling_Tea.jpg,Spilling Tea,Under the Mountain Apothecary,Connection,Come visit our booth!,Vending at booth 87,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_SSSN.png,SSSN,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in RWBY cosplay
 - Show Thomas a picture you took (with permission) of someone in cosplaying a member of Team SSSN at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest who voiced a member of Team SSSN, such as Michael Jones
 - Show Thomas merch of Team SSSN that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",RWBY,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Seth_-_Stackable_Boxes.jpg,Stackable Boxes,Seth,Action,Find certain objects and do something creative with them.,VIP,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Sternritter.png,Sternritter,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Bleach cosplay
 - Show Thomas a picture you took (with permission) of someone in Bleach cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Bleach
 - Show Thomas Bleach merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Bleach,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Winterra_Art_-_Take_That_Depression.jpg,Take That Depression,Winterra Art,Achievement,Buy 2 or more Hazbin or Helluva Boss Items from Winterra Art,Artist Alley - Booth 41 (Corner) Winterra Art,Hazbin Hotel,"Friday, Saturday, Sunday"
Queen_Bee_Artistry_-_Vendor_Booth_-_That's_How_I_Roll.jpg,That's How I Roll,Queen Bee Artistry - Vendor Booth,Achievement,You can either roll a Nat 20 at my booth on the first roll OR roll on the ground.,I will be at the Artist Alley Booth,Dungeons and Dragons,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_The_Bad_Batch.png,The Bad Batch,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Star Wars cosplay
 - Show Thomas a picture you took (with permission) of someone in Star Wars cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in an animated Star Wars show or movie
 - Show Thomas Star Wars merch that you've purchased (online photos don't count!)
 - Tell Thomas who your favorite character of The Bad Batch series is and why","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Star Wars,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Winterra_Art_-_The_Collector.jpg,The Collector,Winterra Art,Achievement,Buy 3+ Items from Winterra Art,Artist Alley - Booth 41 (Corner) Winterra Art,Smiskis,"Friday, Saturday, Sunday"
Seth_-_The_Ficus.jpg,The Ficus,Seth,Achievement,Locate the missing item and bring it back.,VIP,Rooster Teeth,"Friday, Saturday, Sunday"
Ed_-_Promotions_-_The_Lamb_has_sacrificed_me.jpg,The Lamb has sacrificed me,Ed - Promotions,Achievement,Show me your cult,"Staff shirt, maybe a walkie, probably also a camera.",Cult of the Lamb,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_The_Midnight.png,The Midnight,srsbznss/Thomas,Q&A,"Politely approach Thomas and do at least one of the following:
- Play part of one of your favorite songs by The Midnight
- Tell Thomas what 物の哀れ means in English terms","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",The Midnight,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Queen_Bee_Artistry_-_Vendor_Booth_-_Tired_Feet.jpg,Tired Feet,Queen Bee Artistry - Vendor Booth,Exclusive,You must be wearing ABSOLUTELY uncomfortable Shoes,I'll be at the booth!,N/A,"Friday, Saturday, Sunday"
Sam_-_Top_Tier.png,Top Tier,Sam,Action,"1. Politely approach Sam while he's holding his tier list board
2. When it is your turn, place a new character on the board or swap two characters' positions based on the current day's theme
3. Take a picture pointing to the character(s) you just placed/swapped
4. Politely approach Thomas and show him the picture you took",Sam will be wearing a solid black t-shirt and carrying his signature tier list board.,N/A,"Friday, Saturday, Sunday"
